410.000000,-104.500
410.044556,-103.000
410.089081,-105.000
410.133636,-106.000
410.178162,-101.000
410.222717,-104.000
410.267273,-104.500
410.311798,-101.500
410.356354,-104.500
410.400909,-102.000
410.445435,-98.000
410.489990,-105.500
410.534515,-102.000
410.579071,-102.000
410.623627,-108.000
410.668152,-110.000
410.712708,-105.500
410.757263,-102.500
410.801788,-101.500
410.846344,-102.500
410.890869,-106.500
410.935425,-111.500
410.979981,-101.500
411.024506,-104.000
411.069061,-104.000
411.113586,-107.000
411.158142,-112.500
411.202698,-104.000
411.247223,-104.500
411.291748,-110.500
411.336273,-104.000
411.380829,-108.000
411.425385,-105.000
411.469910,-101.031
411.514465,-97.531
411.559021,-99.531
411.603546,-102.531
411.648102,-101.531
411.692627,-99.031
411.737183,-102.531
411.781738,-102.031
411.826263,-105.031
411.870819,-105.031
411.915375,-100.031
411.959900,-105.531
412.004456,-101.031
412.048981,-105.531
412.093536,-102.531
412.138092,-100.531
412.182617,-101.031
412.227173,-98.031
412.271698,-109.531
412.316254,-104.531
412.360809,-103.031
412.405334,-105.031
412.449890,-110.531
412.494446,-105.031
412.538971,-107.531
412.583527,-107.031
412.628052,-113.531
412.672607,-106.031
412.717163,-106.531
412.761688,-106.531
412.806244,-105.531
412.850769,-106.031
412.895325,-109.031
412.939880,-111.531
412.984406,-113.031
413.028961,-106.031
413.073517,-102.531
413.118042,-103.031
413.162598,-107.031
413.207123,-111.031
413.251678,-104.531
413.296234,-105.031
413.340759,-104.531
413.385315,-103.031
413.429871,-105.031
413.474396,-104.531
413.518951,-104.531
413.563477,-107.531
413.608032,-106.031
413.652588,-102.031
413.697113,-101.531
413.741638,-104.531
413.786163,-101.531
413.830719,-105.531
413.875275,-103.531
413.919800,-102.031
413.964356,-108.531
414.008911,-108.531
414.053436,-106.531
414.097992,-103.031
414.142517,-103.531
414.187073,-103.531
414.231628,-103.531
414.276154,-103.531
414.320709,-112.031
414.365234,-107.031
414.409790,-107.531
414.454346,-102.031
414.498871,-105.531
414.543427,-105.531
414.587982,-105.031
414.632507,-104.031
414.677063,-103.531
414.721588,-104.031
414.766144,-104.531
414.810699,-105.531
414.855225,-102.531
414.899780,-111.031
414.944305,-110.531
414.988861,-101.031
415.033417,-102.031
415.077942,-105.531
415.122498,-99.531
415.167053,-100.031
415.211578,-98.531
415.256134,-102.531
415.300659,-107.031
415.345215,-108.531
415.389771,-101.531
415.434296,-103.031
415.478851,-102.031
415.523407,-109.031
415.567932,-103.531
415.612488,-106.031
415.657013,-107.531
415.701569,-101.531
415.746124,-107.531
415.790649,-110.531
415.835205,-101.031
415.879730,-112.031
415.924286,-100.531
415.968842,-107.031
416.013367,-100.531
416.057922,-110.531
416.102478,-103.531
416.147003,-111.531
416.191559,-100.531
416.236084,-101.531
416.280640,-111.031
416.325165,-102.031
416.369690,-103.531
416.414246,-100.031
416.458771,-103.031
416.503326,-107.031
416.547882,-99.531
416.592407,-99.531
416.636963,-101.031
416.681519,-109.531
416.726044,-107.031
416.770599,-104.531
416.815125,-101.031
416.859680,-107.531
416.904236,-110.031
416.948761,-105.531
416.993317,-102.531
417.037842,-105.531
417.082397,-109.531
